,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,2:22 AM,57,53,87,3,0,29.05,0.0,WNW,Partly Cloudy,2016-12-28,2016-12-28 02:22:00
1,1,3:22 AM,55,53,93,7,0,29.05,0.0,NW,Partly Cloudy,2016-12-28,2016-12-28 03:22:00
2,2,4:22 AM,53,52,96,7,0,29.05,0.0,NW,Partly Cloudy,2016-12-28,2016-12-28 04:22:00
3,3,5:22 AM,52,50,93,7,0,29.06,0.0,NW,Cloudy,2016-12-28,2016-12-28 05:22:00
4,4,6:22 AM,51,49,92,6,0,29.06,0.0,WNW,Cloudy,2016-12-28,2016-12-28 06:22:00
5,5,6:22 AM,49,45,86,8,0,29.05,0.0,WNW,Cloudy,2016-12-28,2016-12-28 06:22:00
6,6,7:22 AM,48,43,83,8,0,29.06,0.0,NW,Cloudy,2016-12-28,2016-12-28 07:22:00
7,7,8:22 AM,48,42,80,3,0,29.07,0.0,WNW,Cloudy,2016-12-28,2016-12-28 08:22:00
8,8,9:22 AM,48,41,77,8,0,29.08,0.0,NW,Mostly Cloudy,2016-12-28,2016-12-28 09:22:00
9,9,10:22 AM,50,41,71,5,0,29.09,0.0,WNW,Cloudy,2016-12-28,2016-12-28 10:22:00
10,10,11:22 AM,53,40,61,3,0,29.09,0.0,NW,Mostly Cloudy,2016-12-28,2016-12-28 11:22:00
11,11,12:22 PM,58,36,44,5,0,29.08,0.0,NNW,Mostly Cloudy,2016-12-28,2016-12-28 00:22:00
12,12,1:22 PM,62,38,41,5,0,29.06,0.0,WNW,Mostly Cloudy,2016-12-28,2016-12-28 13:22:00
13,13,2:22 PM,63,39,41,0,0,29.03,0.0,CALM,Mostly Cloudy,2016-12-28,2016-12-28 14:22:00
14,14,3:22 PM,65,40,40,5,0,29.01,0.0,W,Cloudy,2016-12-28,2016-12-28 15:22:00
15,15,4:22 PM,65,41,42,0,0,28.99,0.0,CALM,Mostly Cloudy,2016-12-28,2016-12-28 16:22:00
16,16,5:22 PM,64,43,46,5,0,28.98,0.0,SSE,Mostly Cloudy,2016-12-28,2016-12-28 17:22:00
17,17,6:22 PM,61,45,56,6,0,28.98,0.0,S,Cloudy,2016-12-28,2016-12-28 18:22:00
18,18,7:22 PM,61,46,58,7,0,28.96,0.0,S,Cloudy,2016-12-28,2016-12-28 19:22:00
19,19,9:22 PM,60,51,72,5,0,28.97,0.0,SW,Cloudy,2016-12-28,2016-12-28 21:22:00
20,20,10:22 PM,59,54,83,5,0,28.95,0.0,SSW,Cloudy,2016-12-28,2016-12-28 22:22:00
21,21,10:36 PM,60,54,80,6,0,28.95,0.0,SSW,Cloudy,2016-12-28,2016-12-28 22:36:00
22,22,11:22 PM,61,56,83,10,0,28.94,0.0,SSW,Cloudy,2016-12-28,2016-12-28 23:22:00
23,23,11:30 PM,61,55,81,9,0,28.94,0.0,SSW,Mostly Cloudy,2016-12-28,2016-12-28 23:30:00
24,24,11:47 PM,61,55,81,10,0,28.94,0.0,SSW,Mostly Cloudy,2016-12-28,2016-12-28 23:47:00
25,25,12:22 AM,61,56,83,9,0,28.93,0.0,S,Cloudy,2016-12-28,2016-12-28 12:22:00
26,26,1:22 AM,62,58,86,12,0,28.9,0.0,SSW,Cloudy,2016-12-28,2016-12-28 01:22:00
