,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,54,36,51,14,0,28.97,0.0,NNW,Fair,2016-03-29,2016-03-29 01:22:00
1,1,2:22 AM,52,36,54,13,0,28.97,0.0,NW,Fair,2016-03-29,2016-03-29 02:22:00
2,2,3:22 AM,50,36,59,8,0,28.96,0.0,NW,Fair,2016-03-29,2016-03-29 03:22:00
3,3,4:22 AM,48,36,63,8,0,28.97,0.0,NW,Fair,2016-03-29,2016-03-29 04:22:00
4,4,5:22 AM,47,36,66,8,0,28.97,0.0,NW,Fair,2016-03-29,2016-03-29 05:22:00
5,5,6:22 AM,46,36,68,8,0,28.98,0.0,NW,Fair,2016-03-29,2016-03-29 06:22:00
6,6,6:22 AM,45,36,71,10,0,28.99,0.0,NW,Partly Cloudy,2016-03-29,2016-03-29 06:22:00
7,7,7:22 AM,45,36,71,9,0,29.01,0.0,NNW,Fair,2016-03-29,2016-03-29 07:22:00
8,8,8:22 AM,50,37,61,8,0,29.04,0.0,N,Fair,2016-03-29,2016-03-29 08:22:00
9,9,9:22 AM,56,36,47,8,0,29.05,0.0,N,Fair,2016-03-29,2016-03-29 09:22:00
10,10,10:22 AM,60,36,41,6,0,29.06,0.0,N,Fair,2016-03-29,2016-03-29 10:22:00
11,11,11:22 AM,62,35,37,5,0,29.05,0.0,NE,Fair,2016-03-29,2016-03-29 11:22:00
12,12,12:22 PM,65,34,32,6,0,29.02,0.0,NNE,Partly Cloudy,2016-03-29,2016-03-29 00:22:00
13,13,1:22 PM,67,34,30,0,0,29.02,0.0,CALM,Mostly Cloudy,2016-03-29,2016-03-29 13:22:00
14,14,2:22 PM,69,34,27,3,0,29.01,0.0,VAR,Fair,2016-03-29,2016-03-29 14:22:00
15,15,3:22 PM,70,34,27,3,0,28.99,0.0,VAR,Partly Cloudy,2016-03-29,2016-03-29 15:22:00
16,16,4:22 PM,71,34,26,7,0,28.98,0.0,E,Fair,2016-03-29,2016-03-29 16:22:00
17,17,5:22 PM,72,33,24,3,0,28.99,0.0,E,Partly Cloudy,2016-03-29,2016-03-29 17:22:00
18,18,6:22 PM,71,31,23,0,0,29.0,0.0,CALM,Fair,2016-03-29,2016-03-29 18:22:00
19,19,7:22 PM,68,35,30,3,0,29.0,0.0,S,Fair,2016-03-29,2016-03-29 19:22:00
20,20,9:22 PM,67,35,31,3,0,29.01,0.0,VAR,Fair,2016-03-29,2016-03-29 21:22:00
21,21,10:22 PM,64,36,35,8,0,29.03,0.0,N,Fair,2016-03-29,2016-03-29 22:22:00
22,22,11:22 PM,62,37,39,5,0,29.04,0.0,SE,Fair,2016-03-29,2016-03-29 23:22:00
23,23,12:22 AM,60,39,46,6,0,29.04,0.0,E,Fair,2016-03-29,2016-03-29 12:22:00
