,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,2:22 AM,50,34,54,3,0,29.15,0.0,SE,Fair,2016-03-07,2016-03-07 02:22:00
1,1,3:22 AM,49,34,56,5,0,29.15,0.0,SE,Fair,2016-03-07,2016-03-07 03:22:00
2,2,4:22 AM,47,34,61,5,0,29.15,0.0,SE,Fair,2016-03-07,2016-03-07 04:22:00
3,3,5:22 AM,46,34,63,0,0,29.15,0.0,CALM,Fair,2016-03-07,2016-03-07 05:22:00
4,4,6:22 AM,45,34,65,3,0,29.16,0.0,ESE,Fair,2016-03-07,2016-03-07 06:22:00
5,5,6:22 AM,45,34,65,3,0,29.18,0.0,SE,Fair,2016-03-07,2016-03-07 06:22:00
6,6,7:22 AM,44,35,71,6,0,29.18,0.0,SE,Fair,2016-03-07,2016-03-07 07:22:00
7,7,8:22 AM,45,37,74,3,0,29.21,0.0,SSE,Fair,2016-03-07,2016-03-07 08:22:00
8,8,9:22 AM,51,40,66,9,0,29.23,0.0,SSE,Partly Cloudy,2016-03-07,2016-03-07 09:22:00
9,9,10:22 AM,56,42,60,12,0,29.24,0.0,S,Mostly Cloudy,2016-03-07,2016-03-07 10:22:00
10,10,11:22 AM,59,41,51,10,0,29.24,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 11:22:00
11,11,12:22 PM,62,42,48,9,0,29.23,0.0,S,Partly Cloudy,2016-03-07,2016-03-07 00:22:00
12,12,1:22 PM,64,41,43,7,17,29.2,0.0,S,Mostly Cloudy,2016-03-07,2016-03-07 13:22:00
13,13,2:22 PM,67,38,34,10,0,29.17,0.0,SE,Mostly Cloudy,2016-03-07,2016-03-07 14:22:00
14,14,3:22 PM,68,39,35,6,18,29.14,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 15:22:00
15,15,4:22 PM,68,40,36,6,0,29.13,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 16:22:00
16,16,5:22 PM,69,38,32,10,0,29.11,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 17:22:00
17,17,6:22 PM,68,38,33,10,0,29.12,0.0,SE,Mostly Cloudy,2016-03-07,2016-03-07 18:22:00
18,18,7:22 PM,65,38,37,7,0,29.13,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 19:22:00
19,19,9:22 PM,63,38,40,8,0,29.14,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 21:22:00
20,20,10:22 PM,61,39,44,6,0,29.15,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 22:22:00
21,21,11:22 PM,59,41,51,6,0,29.15,0.0,SE,Mostly Cloudy,2016-03-07,2016-03-07 23:22:00
22,22,12:22 AM,58,42,56,7,0,29.16,0.0,SSE,Mostly Cloudy,2016-03-07,2016-03-07 12:22:00
23,23,1:22 AM,57,42,57,5,0,29.15,0.0,SE,Cloudy,2016-03-07,2016-03-07 01:22:00
