,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,63,41,45,7,0,29.14,0.0,NNE,Fair,2016-10-10,2016-10-10 01:22:00
1,1,2:22 AM,63,41,45,5,0,29.14,0.0,NNE,Fair,2016-10-10,2016-10-10 02:22:00
2,2,3:22 AM,62,42,48,6,0,29.14,0.0,ENE,Fair,2016-10-10,2016-10-10 03:22:00
3,3,4:22 AM,60,42,51,8,0,29.14,0.0,ENE,Fair,2016-10-10,2016-10-10 04:22:00
4,4,5:22 AM,57,42,57,6,0,29.15,0.0,E,Fair,2016-10-10,2016-10-10 05:22:00
5,5,6:22 AM,57,42,57,6,0,29.17,0.0,E,Fair,2016-10-10,2016-10-10 06:22:00
6,6,6:22 AM,55,43,64,8,0,29.18,0.0,ENE,Fair,2016-10-10,2016-10-10 06:22:00
7,7,7:22 AM,56,43,62,10,0,29.19,0.0,E,Fair,2016-10-10,2016-10-10 07:22:00
8,8,8:22 AM,59,43,55,10,0,29.2,0.0,E,Fair,2016-10-10,2016-10-10 08:22:00
9,9,9:22 AM,63,43,48,12,0,29.22,0.0,E,Partly Cloudy,2016-10-10,2016-10-10 09:22:00
10,10,10:22 AM,66,42,42,9,0,29.23,0.0,E,Partly Cloudy,2016-10-10,2016-10-10 10:22:00
11,11,11:22 AM,69,42,38,10,0,29.23,0.0,E,Partly Cloudy,2016-10-10,2016-10-10 11:22:00
12,12,12:22 PM,71,39,31,12,0,29.21,0.0,E,Fair,2016-10-10,2016-10-10 00:22:00
13,13,1:22 PM,74,40,29,8,17,29.19,0.0,NNE,Partly Cloudy,2016-10-10,2016-10-10 13:22:00
14,14,2:22 PM,75,40,28,3,0,29.17,0.0,VAR,Mostly Cloudy,2016-10-10,2016-10-10 14:22:00
15,15,3:22 PM,75,39,27,0,0,29.15,0.0,,Partly Cloudy,2016-10-10,2016-10-10 15:22:00
16,16,4:22 PM,76,37,24,9,0,29.16,0.0,ENE,Partly Cloudy,2016-10-10,2016-10-10 16:22:00
17,17,5:22 PM,74,36,25,3,0,29.15,0.0,ENE,Mostly Cloudy,2016-10-10,2016-10-10 17:22:00
18,18,6:22 PM,72,39,30,3,0,29.17,0.0,SE,Mostly Cloudy,2016-10-10,2016-10-10 18:22:00
19,19,7:22 PM,69,41,36,3,0,29.18,0.0,SE,Cloudy,2016-10-10,2016-10-10 19:22:00
20,20,9:22 PM,68,39,35,5,0,29.19,0.0,ESE,Mostly Cloudy,2016-10-10,2016-10-10 21:22:00
21,21,10:22 PM,64,42,45,3,0,29.2,0.0,ESE,Mostly Cloudy,2016-10-10,2016-10-10 22:22:00
22,22,11:22 PM,66,39,37,7,0,29.2,0.0,ESE,Mostly Cloudy,2016-10-10,2016-10-10 23:22:00
23,23,12:22 AM,64,41,43,5,0,29.2,0.0,SE,Mostly Cloudy,2016-10-10,2016-10-10 12:22:00
