,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,61,59,93,7,0,28.92,0.0,W,Partly Cloudy,2016-03-28
1,2:13 AM,61,59,93,7,0,28.91,0.0,W,Mostly Cloudy,2016-03-28
2,2:20 AM,61,59,94,6,0,28.91,0.0,W,Mostly Cloudy,2016-03-28
3,2:22 AM,61,59,93,6,0,28.91,0.0,WSW,Mostly Cloudy,2016-03-28
4,3:22 AM,61,58,90,6,0,28.90,0.0,WSW,Light Rain,2016-03-28
5,4:22 AM,60,58,93,6,0,28.88,0.0,WSW,Mostly Cloudy,2016-03-28
6,5:22 AM,62,59,90,8,0,28.86,0.0,W,Mostly Cloudy,2016-03-28
7,6:22 AM,61,58,90,7,0,28.87,0.0,W,Mostly Cloudy,2016-03-28
8,6:22 AM,61,58,90,9,0,28.88,0.0,WSW,Mostly Cloudy,2016-03-28
9,6:48 AM,61,58,90,8,0,28.88,0.0,W,Mostly Cloudy,2016-03-28
10,7:22 AM,60,58,93,6,0,28.89,0.0,W,Partly Cloudy,2016-03-28
11,8:04 AM,62,58,86,10,0,28.91,0.0,W,Mostly Cloudy,2016-03-28
12,8:20 AM,63,57,82,12,0,28.91,0.0,W,Mostly Cloudy,2016-03-28
13,8:22 AM,62,58,86,10,0,28.91,0.0,W,Mostly Cloudy,2016-03-28
14,9:22 AM,64,58,80,16,0,28.92,0.0,W,Fair,2016-03-28
15,10:22 AM,65,54,68,12,0,28.94,0.0,WNW,Fair,2016-03-28
16,11:22 AM,67,54,63,12,21,28.94,0.0,WNW,Fair,2016-03-28
17,12:22 PM,67,52,59,14,21,28.94,0.0,WNW,Fair,2016-03-28
18,1:22 PM,69,47,45,15,22,28.94,0.0,WNW,Fair,2016-03-28
19,2:22 PM,70,45,41,14,22,28.94,0.0,NW,Fair,2016-03-28
20,3:22 PM,70,44,39,13,23,28.93,0.0,NW,Fair,2016-03-28
21,4:22 PM,71,42,35,15,21,28.92,0.0,NNW,Fair,2016-03-28
22,5:22 PM,70,42,36,13,0,28.93,0.0,NW,Fair,2016-03-28
23,6:22 PM,68,36,31,14,0,28.94,0.0,WNW,Fair,2016-03-28
24,7:22 PM,65,39,39,9,0,28.94,0.0,NNW,Fair,2016-03-28
25,9:22 PM,61,40,46,6,0,28.96,0.0,NW,Fair,2016-03-28
26,10:22 PM,59,41,51,8,0,28.97,0.0,NW,Fair,2016-03-28
27,11:22 PM,56,41,57,7,0,28.98,0.0,NNW,Fair,2016-03-28
28,12:22 AM,54,40,59,10,0,28.97,0.0,NW,Fair,2016-03-28
