,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,76,65,69,0,0,29.01,0.0,CALM,Fair,2016-09-15
1,2:22 AM,75,65,71,5,0,29.01,0.0,SE,Fair,2016-09-15
2,3:22 AM,75,66,73,0,0,29.01,0.0,CALM,Fair,2016-09-15
3,4:22 AM,74,67,79,3,0,29.00,0.0,NE,Fair,2016-09-15
4,5:22 AM,75,66,73,3,0,29.00,0.0,N,Fair,2016-09-15
5,6:22 AM,73,66,79,3,0,29.00,0.0,E,Partly Cloudy,2016-09-15
6,6:22 AM,72,67,84,0,0,29.00,0.0,CALM,Partly Cloudy,2016-09-15
7,7:22 AM,73,67,81,0,0,29.01,0.0,CALM,Fair,2016-09-15
8,8:22 AM,77,68,74,3,0,29.02,0.0,ESE,Fair,2016-09-15
9,9:22 AM,80,67,64,5,0,29.03,0.0,ESE,Partly Cloudy,2016-09-15
10,10:22 AM,84,67,56,3,0,29.04,0.0,SE,Fair,2016-09-15
11,11:22 AM,87,66,49,3,0,29.03,0.0,VAR,Fair,2016-09-15
12,12:22 PM,89,65,45,7,0,29.02,0.0,NE,Fair,2016-09-15
13,1:22 PM,90,65,43,6,0,29.00,0.0,SSE,Fair,2016-09-15
14,2:22 PM,92,63,38,8,0,28.98,0.0,E,Partly Cloudy,2016-09-15
15,3:22 PM,92,61,35,0,0,28.95,0.0,CALM,Fair,2016-09-15
16,4:22 PM,92,60,34,12,0,28.94,0.0,ENE,Fair,2016-09-15
17,5:22 PM,92,59,33,5,0,28.94,0.0,VAR,Fair,2016-09-15
18,6:22 PM,91,58,33,7,0,28.94,0.0,SE,Fair,2016-09-15
19,7:22 PM,89,59,36,5,0,28.95,0.0,ESE,Fair,2016-09-15
20,9:22 PM,86,60,41,5,0,28.97,0.0,SE,Fair,2016-09-15
21,10:22 PM,84,62,47,3,0,28.99,0.0,SE,Fair,2016-09-15
22,11:22 PM,81,64,56,8,0,29.01,0.0,SSE,Fair,2016-09-15
23,12:22 AM,79,65,62,6,0,29.02,0.0,SSE,Fair,2016-09-15
