,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,78,72,81,3,0,28.95,0.0,NNE,Mostly Cloudy,2018-09-14
1,2:22 AM,78,72,81,6,0,28.94,0.0,E,Cloudy,2018-09-14
2,3:22 AM,76,71,85,6,0,28.94,0.0,NNW,Mostly Cloudy,2018-09-14
3,4:22 AM,76,71,85,5,0,28.94,0.0,NNW,Mostly Cloudy,2018-09-14
4,5:22 AM,75,72,90,6,0,28.94,0.0,NNW,Mostly Cloudy,2018-09-14
5,6:22 AM,75,71,87,6,0,28.93,0.0,NNW,Mostly Cloudy,2018-09-14
6,6:22 AM,75,71,87,5,0,28.94,0.0,NNW,Mostly Cloudy,2018-09-14
7,7:22 AM,75,71,87,6,0,28.94,0.0,NW,Mostly Cloudy,2018-09-14
8,8:22 AM,78,72,81,8,0,28.94,0.0,NW,Mostly Cloudy,2018-09-14
9,9:22 AM,82,73,74,6,0,28.94,0.0,W,Mostly Cloudy,2018-09-14
10,10:22 AM,84,73,69,9,0,28.94,0.0,NW,Partly Cloudy,2018-09-14
11,11:22 AM,87,74,65,7,0,28.93,0.0,WNW,Partly Cloudy,2018-09-14
12,12:22 PM,89,72,57,9,0,28.90,0.0,WNW,Partly Cloudy,2018-09-14
13,1:22 PM,92,71,50,8,0,28.87,0.0,NW,Partly Cloudy,2018-09-14
14,2:22 PM,93,67,42,13,20,28.85,0.0,N,Partly Cloudy,2018-09-14
15,3:22 PM,93,68,44,9,0,28.83,0.0,NNW,Partly Cloudy,2018-09-14
16,4:22 PM,93,68,44,8,0,28.82,0.0,NNW,Partly Cloudy,2018-09-14
17,5:22 PM,93,68,44,8,0,28.82,0.0,NNW,Partly Cloudy,2018-09-14
18,6:22 PM,91,68,47,15,0,28.82,0.0,NW,Partly Cloudy,2018-09-14
19,7:22 PM,87,69,55,13,0,28.82,0.0,NNW,Partly Cloudy,2018-09-14
20,9:22 PM,85,69,59,10,0,28.84,0.0,NNW,Partly Cloudy,2018-09-14
21,10:22 PM,83,69,63,8,0,28.85,0.0,NNW,Partly Cloudy,2018-09-14
22,11:22 PM,83,69,63,7,0,28.86,0.0,NNW,Partly Cloudy,2018-09-14
23,12:22 AM,81,69,67,7,0,28.86,0.0,NNW,Partly Cloudy,2018-09-14
