,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,2:22 AM,27,0,31,6,0,29.36,0.0,N,Fair,2018-01-07
1,3:22 AM,25,0,34,7,0,29.34,0.0,NNE,Cloudy,2018-01-07
2,4:22 AM,25,2,37,8,0,29.35,0.0,NE,Cloudy,2018-01-07
3,5:22 AM,23,3,42,9,0,29.36,0.0,E,Cloudy,2018-01-07
4,6:22 AM,22,6,51,8,0,29.37,0.0,E,Cloudy,2018-01-07
5,6:22 AM,22,8,55,8,0,29.38,0.0,E,Fair,2018-01-07
6,7:22 AM,22,8,55,9,0,29.40,0.0,E,Cloudy,2018-01-07
7,8:22 AM,22,9,58,12,0,29.41,0.0,E,Cloudy,2018-01-07
8,9:22 AM,24,8,51,10,0,29.43,0.0,E,Cloudy,2018-01-07
9,10:22 AM,28,8,43,13,0,29.44,0.0,ESE,Cloudy,2018-01-07
10,11:22 AM,30,8,40,8,0,29.44,0.0,ESE,Cloudy,2018-01-07
11,12:22 PM,33,8,35,9,0,29.40,0.0,SE,Mostly Cloudy,2018-01-07
12,1:22 PM,36,8,31,10,0,29.36,0.0,SE,Mostly Cloudy,2018-01-07
13,2:22 PM,38,9,30,8,0,29.33,0.0,SSE,Mostly Cloudy,2018-01-07
14,3:22 PM,39,9,29,9,0,29.31,0.0,ESE,Mostly Cloudy,2018-01-07
15,4:22 PM,39,8,28,8,0,29.29,0.0,ESE,Cloudy,2018-01-07
16,5:22 PM,39,8,28,12,0,29.29,0.0,ESE,Cloudy,2018-01-07
17,6:22 PM,37,8,30,7,0,29.29,0.0,ESE,Mostly Cloudy,2018-01-07
18,7:22 PM,36,8,31,9,0,29.30,0.0,ESE,Cloudy,2018-01-07
19,9:22 PM,35,9,34,12,0,29.31,0.0,ESE,Cloudy,2018-01-07
20,10:22 PM,32,9,38,10,0,29.30,0.0,E,Cloudy,2018-01-07
21,11:22 PM,32,8,37,13,0,29.28,0.0,E,Cloudy,2018-01-07
22,12:22 AM,32,7,35,12,0,29.26,0.0,E,Cloudy,2018-01-07
23,1:22 AM,32,7,35,8,0,29.27,0.0,E,Cloudy,2018-01-07
