,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,70,66,87,3,0,28.93,0.0,WSW,Partly Cloudy,2018-06-12
1,2:22 AM,70,66,87,0,0,28.94,0.0,CALM,Fair,2018-06-12
2,3:22 AM,69,66,90,3,0,28.93,0.0,W,Fair,2018-06-12
3,5:22 AM,70,67,90,6,0,28.94,0.0,NE,Mostly Cloudy,2018-06-12
4,5:36 AM,70,67,90,0,0,28.94,0.0,CALM,Fair,2018-06-12
5,6:22 AM,71,66,84,3,0,28.94,0.0,NNE,Fair,2018-06-12
6,5:59 AM,70,66,87,6,0,28.94,0.0,ENE,Mist,2018-06-12
7,6:07 AM,70,67,90,8,0,28.94,0.0,NE,Mist,2018-06-12
8,6:12 AM,70,67,90,7,0,28.94,0.0,ENE,Mist,2018-06-12
9,6:22 AM,69,66,90,9,0,28.95,0.0,NE,Fog,2018-06-12
10,6:55 AM,70,67,90,5,0,28.98,0.0,ENE,Fog,2018-06-12
11,7:12 AM,71,67,87,5,0,28.98,0.0,E,Mostly Cloudy,2018-06-12
12,7:22 AM,71,67,87,6,0,28.99,0.0,E,Cloudy,2018-06-12
13,8:22 AM,72,67,84,7,0,29.01,0.0,E,Haze,2018-06-12
14,8:54 AM,73,67,81,5,0,29.02,0.0,ESE,Mostly Cloudy,2018-06-12
15,9:22 AM,73,67,81,9,0,29.02,0.0,E,Mostly Cloudy,2018-06-12
16,10:22 AM,75,67,76,6,0,29.02,0.0,ESE,Mostly Cloudy,2018-06-12
17,11:22 AM,76,68,76,7,0,29.02,0.0,ENE,Mostly Cloudy,2018-06-12
18,12:11 PM,79,68,69,7,0,29.02,0.0,VAR,Mostly Cloudy,2018-06-12
19,12:22 PM,79,67,66,10,0,29.02,0.0,E,Mostly Cloudy,2018-06-12
20,1:22 PM,82,68,62,8,0,29.01,0.0,ESE,Mostly Cloudy,2018-06-12
21,2:22 PM,82,68,62,9,0,28.99,0.0,ESE,Mostly Cloudy,2018-06-12
22,2:58 PM,81,69,67,15,0,28.99,0.0,ENE,Mostly Cloudy,2018-06-12
23,3:22 PM,82,70,67,12,0,28.98,0.0,E,Partly Cloudy,2018-06-12
24,4:22 PM,81,69,67,8,0,28.95,0.0,E,Partly Cloudy,2018-06-12
25,5:22 PM,82,69,65,8,0,28.95,0.0,ESE,Partly Cloudy,2018-06-12
26,6:22 PM,80,68,67,10,0,28.94,0.0,ESE,Partly Cloudy,2018-06-12
27,7:22 PM,79,68,69,9,0,28.95,0.0,ESE,Partly Cloudy,2018-06-12
28,9:22 PM,78,68,71,8,0,28.96,0.0,ESE,Fair,2018-06-12
29,10:22 PM,76,68,76,8,0,28.99,0.0,E,Partly Cloudy,2018-06-12
30,11:22 PM,75,68,79,9,0,29.00,0.0,E,Mostly Cloudy,2018-06-12
31,12:22 AM,75,68,79,5,0,29.01,0.0,ESE,Mostly Cloudy,2018-06-12
