,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,76,62,62,5,0,28.99,0.0,SE,Fair,2017-05-20
1,2:22 AM,75,61,62,3,0,28.99,0.0,SE,Fair,2017-05-20
2,3:22 AM,73,61,66,3,0,28.98,0.0,SE,Fair,2017-05-20
3,4:22 AM,72,61,68,0,0,28.99,0.0,CALM,Fair,2017-05-20
4,5:22 AM,71,62,73,6,0,28.99,0.0,SE,Partly Cloudy,2017-05-20
5,6:22 AM,69,63,81,6,0,29.00,0.0,SSE,Partly Cloudy,2017-05-20
6,6:22 AM,69,64,84,3,0,29.01,0.0,SE,Partly Cloudy,2017-05-20
7,7:22 AM,71,66,84,7,0,29.02,0.0,SE,Partly Cloudy,2017-05-20
8,7:35 AM,71,67,87,7,0,29.02,0.0,SSE,Fair,2017-05-20
9,8:22 AM,74,68,82,5,0,29.02,0.0,SE,Fair,2017-05-20
10,9:22 AM,77,69,76,7,0,29.01,0.0,E,Partly Cloudy,2017-05-20
11,10:22 AM,80,69,69,9,0,29.02,0.0,SSE,Partly Cloudy,2017-05-20
12,11:22 AM,81,69,67,8,0,29.03,0.0,SE,Partly Cloudy,2017-05-20
13,12:22 PM,83,69,63,8,0,29.03,0.0,SE,Mostly Cloudy,2017-05-20
14,1:22 PM,83,69,63,10,0,29.01,0.0,SSE,Mostly Cloudy,2017-05-20
15,2:22 PM,85,68,57,10,0,28.98,0.0,SSE,Mostly Cloudy,2017-05-20
16,3:12 PM,84,68,58,10,21,28.96,0.0,SE,Thunder in the Vicinity,2017-05-20
17,3:22 PM,83,68,60,10,0,28.95,0.0,SE,Thunder in the Vicinity,2017-05-20
18,3:47 PM,81,70,69,8,0,28.94,0.0,SSE,Light Rain,2017-05-20
19,4:22 PM,83,71,67,9,0,28.94,0.0,S,Mostly Cloudy,2017-05-20
20,5:22 PM,82,69,65,31,45,28.94,0.0,SSE,Light Rain with Thunder,2017-05-20
21,5:24 PM,80,68,67,29,45,28.95,0.0,S,Light Rain with Thunder,2017-05-20
22,5:47 PM,71,67,87,8,21,28.95,0.0,S,Light Rain with Thunder,2017-05-20
23,6:22 PM,72,64,76,8,18,28.98,0.0,S,Cloudy,2017-05-20
24,7:22 PM,70,65,84,6,0,28.95,0.0,SSW,Light Rain,2017-05-20
25,9:22 PM,71,66,84,13,0,29.00,0.0,ENE,Light Rain,2017-05-20
26,10:22 PM,71,67,87,8,0,29.00,0.0,ENE,Light Rain,2017-05-20
27,11:22 PM,71,67,87,10,0,29.00,0.0,NNE,Cloudy,2017-05-20
28,12:22 AM,72,67,84,5,0,29.01,0.0,NW,Light Rain with Thunder,2017-05-20
