,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,2:22 AM,43,31,62,6,0,28.98,0.0,SSW,Cloudy,2017-01-31
1,3:22 AM,41,31,67,7,0,28.97,0.0,SSW,Cloudy,2017-01-31
2,4:22 AM,42,32,67,7,0,28.97,0.0,SW,Fair,2017-01-31
3,5:22 AM,43,33,68,7,0,28.96,0.0,SW,Fair,2017-01-31
4,6:22 AM,43,34,71,9,0,28.96,0.0,SW,Fair,2017-01-31
5,6:22 AM,44,36,73,8,0,28.95,0.0,SW,Fair,2017-01-31
6,7:22 AM,45,37,74,10,0,28.95,0.0,WSW,Fair,2017-01-31
7,8:22 AM,45,38,76,8,0,28.96,0.0,SW,Fair,2017-01-31
8,9:22 AM,48,39,71,9,0,28.97,0.0,SW,Fair,2017-01-31
9,10:22 AM,53,40,61,12,0,28.99,0.0,WSW,Fair,2017-01-31
10,11:22 AM,58,40,51,12,0,29.00,0.0,WSW,Fair,2017-01-31
11,12:22 PM,63,38,40,10,0,28.99,0.0,W,Fair,2017-01-31
12,1:22 PM,66,38,36,10,0,28.96,0.0,WSW,Fair,2017-01-31
13,2:22 PM,68,36,31,13,20,28.94,0.0,WSW,Partly Cloudy,2017-01-31
14,3:22 PM,71,32,24,13,23,28.92,0.0,SW,Fair,2017-01-31
15,4:22 PM,73,26,17,13,22,28.91,0.0,WSW,Fair,2017-01-31
16,5:22 PM,72,25,17,15,25,28.92,0.0,W,Fair,2017-01-31
17,6:22 PM,69,26,20,10,0,28.93,0.0,SW,Partly Cloudy,2017-01-31
18,7:22 PM,65,30,27,8,0,28.94,0.0,SW,Mostly Cloudy,2017-01-31
19,9:22 PM,63,32,31,10,0,28.94,0.0,SW,Partly Cloudy,2017-01-31
20,10:22 PM,61,35,38,7,0,28.96,0.0,SW,Fair,2017-01-31
21,11:22 PM,59,35,41,6,0,28.96,0.0,WSW,Partly Cloudy,2017-01-31
22,12:22 AM,57,35,44,6,0,28.96,0.0,SW,Mostly Cloudy,2017-01-31
23,1:22 AM,55,36,49,8,0,28.96,0.0,SW,Partly Cloudy,2017-01-31
