,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,39,36,89,10,0,29.14,0.0,ESE,Cloudy,2017-03-13
1,2:04 AM,38,35,89,10,0,29.13,0.0,ESE,Cloudy,2017-03-13
2,2:22 AM,38,35,89,9,0,29.13,0.0,ESE,Mostly Cloudy,2017-03-13
3,2:39 AM,38,35,89,7,0,29.14,0.0,SE,Mostly Cloudy,2017-03-13
4,3:18 AM,37,36,93,8,0,29.13,0.0,E,Mostly Cloudy,2017-03-13
5,3:22 AM,38,35,89,8,0,29.12,0.0,E,Cloudy,2017-03-13
6,4:22 AM,37,35,93,10,0,29.10,0.0,E,Cloudy,2017-03-13
7,5:22 AM,37,34,89,12,0,29.10,0.0,E,Cloudy,2017-03-13
8,6:22 AM,36,34,93,13,0,29.11,0.0,E,Cloudy,2017-03-13
9,6:22 AM,36,33,89,15,0,29.10,0.0,E,Cloudy,2017-03-13
10,6:35 AM,36,33,89,15,0,29.10,0.0,E,Cloudy,2017-03-13
11,7:22 AM,36,33,89,14,0,29.09,0.0,E,Cloudy,2017-03-13
12,8:11 AM,36,33,89,15,0,29.09,0.0,E,Cloudy,2017-03-13
13,8:22 AM,37,33,86,13,0,29.09,0.0,E,Cloudy,2017-03-13
14,9:22 AM,37,32,82,15,0,29.10,0.0,E,Cloudy,2017-03-13
15,10:22 AM,39,31,73,13,0,29.09,0.0,E,Cloudy,2017-03-13
16,11:22 AM,40,33,77,16,0,29.07,0.0,ENE,Cloudy,2017-03-13
17,12:22 PM,42,34,73,14,0,29.04,0.0,E,Cloudy,2017-03-13
18,1:22 PM,41,34,76,14,0,29.02,0.0,E,Cloudy,2017-03-13
19,1:39 PM,41,35,79,12,0,29.00,0.0,E,Light Rain,2017-03-13
20,1:48 PM,40,35,83,9,0,29.00,0.0,E,Light Rain,2017-03-13
21,1:55 PM,41,36,82,8,0,29.00,0.0,E,Light Rain,2017-03-13
22,2:22 PM,40,37,89,15,0,28.97,0.0,E,Cloudy,2017-03-13
23,3:22 PM,40,37,89,12,0,28.94,0.0,E,Light Rain,2017-03-13
24,3:53 PM,40,38,93,8,0,28.93,0.0,E,Light Rain,2017-03-13
25,4:01 PM,40,38,93,9,0,28.93,0.0,E,Light Rain,2017-03-13
26,4:22 PM,40,38,93,10,0,28.92,0.0,E,Light Rain,2017-03-13
27,5:16 PM,39,37,93,13,0,28.86,0.0,E,Light Rain,2017-03-13
28,5:22 PM,40,38,93,12,0,28.86,0.0,E,Light Rain,2017-03-13
29,6:22 PM,41,38,89,8,0,28.85,0.0,E,Cloudy,2017-03-13
30,7:22 PM,41,39,93,9,0,28.85,0.0,ENE,Cloudy,2017-03-13
31,9:22 PM,40,39,97,7,0,28.85,0.0,ENE,Light Drizzle,2017-03-13
32,9:29 PM,40,39,97,7,0,28.85,0.0,ENE,Light Rain,2017-03-13
33,9:50 PM,40,39,97,3,0,28.85,0.0,E,Light Drizzle,2017-03-13
34,10:22 PM,40,39,97,6,0,28.85,0.0,N,Light Rain,2017-03-13
35,11:12 PM,40,39,97,10,0,28.84,0.0,ENE,Light Rain,2017-03-13
36,11:22 PM,40,39,97,9,0,28.83,0.0,NE,Light Rain,2017-03-13
37,12:22 AM,40,39,97,7,0,28.85,0.1,NW,Light Rain,2017-03-13
