,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date
0,1:22 AM,68,65,90,5,0,28.83,0.0,NW,Mostly Cloudy,2017-06-16
1,2:22 AM,69,65,87,7,0,28.84,0.0,NW,Mostly Cloudy,2017-06-16
2,3:22 AM,68,66,93,6,0,28.83,0.0,NW,Cloudy,2017-06-16
3,4:22 AM,68,65,90,6,0,28.84,0.0,NNW,Cloudy,2017-06-16
4,5:22 AM,68,65,90,8,0,28.85,0.0,W,Cloudy,2017-06-16
5,6:22 AM,67,65,93,10,0,28.84,0.0,NW,Mostly Cloudy,2017-06-16
6,6:22 AM,68,65,90,12,0,28.86,0.0,NW,Cloudy,2017-06-16
7,7:22 AM,68,65,90,10,0,28.87,0.0,WNW,Cloudy,2017-06-16
8,8:22 AM,69,65,87,8,0,28.86,0.0,NW,Cloudy,2017-06-16
9,9:22 AM,72,66,81,7,0,28.85,0.0,NW,Cloudy,2017-06-16
10,10:22 AM,75,65,71,12,0,28.86,0.0,NW,Mostly Cloudy,2017-06-16
11,11:22 AM,76,66,71,7,0,28.87,0.0,NW,Mostly Cloudy,2017-06-16
12,12:22 PM,78,66,66,7,0,28.85,0.0,WNW,Cloudy,2017-06-16
13,1:22 PM,80,67,64,6,0,28.83,0.0,NW,Cloudy,2017-06-16
14,2:22 PM,81,66,60,6,0,28.82,0.0,W,Cloudy,2017-06-16
15,3:22 PM,85,67,55,0,0,28.80,0.0,CALM,Cloudy,2017-06-16
16,4:22 PM,84,66,55,7,0,28.78,0.0,WSW,Mostly Cloudy,2017-06-16
17,5:22 PM,85,66,53,8,0,28.77,0.0,NW,Partly Cloudy,2017-06-16
18,6:22 PM,85,67,55,7,0,28.76,0.0,WNW,Partly Cloudy,2017-06-16
19,7:22 PM,84,66,55,8,0,28.76,0.0,WNW,Partly Cloudy,2017-06-16
20,9:22 PM,81,66,60,5,0,28.77,0.0,W,Mostly Cloudy,2017-06-16
21,10:22 PM,82,67,60,0,0,28.79,0.0,CALM,Light Rain,2017-06-16
22,10:43 PM,75,70,84,16,21,28.80,0.1,SSW,Light Rain with Thunder,2017-06-16
23,11:22 PM,72,69,91,9,0,28.80,0.3,SW,Light Rain with Thunder,2017-06-16
24,11:34 PM,72,69,91,5,0,28.80,0.0,SSW,Light Rain,2017-06-16
25,12:22 AM,74,68,82,6,0,28.81,0.0,W,Light Rain,2017-06-16
