,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,75,70,84,0,0,29.04,0.0,CALM,Mostly Cloudy,2018-09-26,2018-09-26 01:22:00
1,1,2:22 AM,75,70,84,5,0,29.04,0.0,SSE,Mostly Cloudy,2018-09-26,2018-09-26 02:22:00
2,2,3:22 AM,74,69,85,5,0,29.03,0.0,SSE,Partly Cloudy,2018-09-26,2018-09-26 03:22:00
3,3,4:22 AM,73,68,84,0,0,29.01,0.0,CALM,Partly Cloudy,2018-09-26,2018-09-26 04:22:00
4,4,5:22 AM,74,68,82,0,0,29.0,0.0,CALM,Mostly Cloudy,2018-09-26,2018-09-26 05:22:00
5,5,6:22 AM,73,68,84,3,0,29.0,0.0,S,Mostly Cloudy,2018-09-26,2018-09-26 06:22:00
6,6,6:22 AM,72,68,87,0,0,29.01,0.0,CALM,Mostly Cloudy,2018-09-26,2018-09-26 06:22:00
7,7,7:22 AM,73,68,84,5,0,29.01,0.0,SSE,Mostly Cloudy,2018-09-26,2018-09-26 07:22:00
8,8,8:22 AM,74,68,82,7,0,29.01,0.0,SSW,Partly Cloudy,2018-09-26,2018-09-26 08:22:00
9,9,9:22 AM,77,70,79,8,0,29.02,0.0,SW,Mostly Cloudy,2018-09-26,2018-09-26 09:22:00
10,10,10:22 AM,79,71,77,7,0,29.02,0.0,SSW,Mostly Cloudy,2018-09-26,2018-09-26 10:22:00
11,11,11:09 AM,82,72,71,8,0,29.02,0.0,SSW,Mostly Cloudy,2018-09-26,2018-09-26 11:09:00
12,12,11:22 AM,81,71,72,8,0,29.01,0.0,SW,Mostly Cloudy,2018-09-26,2018-09-26 11:22:00
13,13,11:25 AM,81,71,72,7,0,29.01,0.0,VAR,Partly Cloudy,2018-09-26,2018-09-26 11:25:00
14,14,11:55 AM,84,72,67,8,0,29.01,0.0,SW,Mostly Cloudy,2018-09-26,2018-09-26 11:55:00
15,15,12:22 PM,82,71,69,9,0,29.0,0.0,S,Mostly Cloudy,2018-09-26,2018-09-26 00:22:00
16,16,12:37 PM,81,72,74,10,0,29.0,0.0,W,Light Rain,2018-09-26,2018-09-26 00:37:00
17,17,12:38 PM,81,72,74,10,0,29.0,0.0,W,Light Rain,2018-09-26,2018-09-26 00:38:00
18,18,12:43 PM,80,72,76,9,0,29.0,0.0,W,Mostly Cloudy,2018-09-26,2018-09-26 00:43:00
19,19,1:22 PM,87,70,57,9,0,28.98,0.0,W,Thunder in the Vicinity,2018-09-26,2018-09-26 13:22:00
20,20,1:35 PM,85,68,57,12,0,28.97,0.0,SW,Mostly Cloudy,2018-09-26,2018-09-26 13:35:00
21,21,2:22 PM,86,70,59,9,0,28.95,0.0,SW,Mostly Cloudy,2018-09-26,2018-09-26 14:22:00
22,22,3:15 PM,88,70,55,9,0,28.94,0.0,SSW,Thunder in the Vicinity,2018-09-26,2018-09-26 15:15:00
23,23,3:22 PM,85,69,59,10,0,28.93,0.0,SSW,Thunder in the Vicinity,2018-09-26,2018-09-26 15:22:00
24,24,3:36 PM,82,70,67,13,21,28.94,0.0,NW,Thunder in the Vicinity,2018-09-26,2018-09-26 15:36:00
25,25,3:50 PM,75,69,82,24,36,28.96,0.0,NW,Heavy T-Storm / Windy,2018-09-26,2018-09-26 15:50:00
26,26,4:12 PM,72,69,91,3,0,28.94,0.1,NNW,Light Rain with Thunder,2018-09-26,2018-09-26 16:12:00
27,27,4:22 PM,72,68,87,6,0,28.94,0.1,NW,Light Rain with Thunder,2018-09-26,2018-09-26 16:22:00
28,28,4:29 PM,72,68,87,5,0,28.94,0.0,WNW,Light Rain with Thunder,2018-09-26,2018-09-26 16:29:00
29,29,5:00 PM,74,70,87,6,0,28.94,0.0,SSW,Cloudy,2018-09-26,2018-09-26 17:00:00
30,30,5:22 PM,74,70,87,3,0,28.94,0.0,W,Light Rain,2018-09-26,2018-09-26 17:22:00
31,31,6:22 PM,73,70,90,3,0,28.94,0.1,W,Rain,2018-09-26,2018-09-26 18:22:00
32,32,7:22 PM,73,70,90,0,0,28.94,0.1,CALM,Light Rain,2018-09-26,2018-09-26 19:22:00
33,33,9:22 PM,73,71,93,5,0,28.96,0.0,WNW,Light Rain,2018-09-26,2018-09-26 21:22:00
34,34,10:22 PM,73,70,90,6,0,28.96,0.0,WNW,Light Rain,2018-09-26,2018-09-26 22:22:00
35,35,11:22 PM,72,69,91,7,0,28.96,0.0,NW,Cloudy,2018-09-26,2018-09-26 23:22:00
36,36,12:22 AM,72,69,91,5,0,28.96,0.0,NNW,Mostly Cloudy,2018-09-26,2018-09-26 12:22:00
