,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,2:22 AM,46,35,66,3,0,29.22,0.0,NNE,Partly Cloudy,2018-12-26,2018-12-26 02:22:00
1,1,3:22 AM,45,35,68,0,0,29.23,0.0,CALM,Partly Cloudy,2018-12-26,2018-12-26 03:22:00
2,2,4:22 AM,45,35,68,7,0,29.24,0.0,ENE,Partly Cloudy,2018-12-26,2018-12-26 04:22:00
3,3,5:22 AM,44,36,73,7,0,29.24,0.0,NE,Partly Cloudy,2018-12-26,2018-12-26 05:22:00
4,4,6:22 AM,44,35,71,0,0,29.24,0.0,CALM,Partly Cloudy,2018-12-26,2018-12-26 06:22:00
5,5,6:22 AM,42,35,76,6,0,29.26,0.0,E,Partly Cloudy,2018-12-26,2018-12-26 06:22:00
6,6,7:22 AM,44,36,73,6,0,29.28,0.0,NE,Partly Cloudy,2018-12-26,2018-12-26 07:22:00
7,7,8:22 AM,42,36,79,8,0,29.31,0.0,E,Partly Cloudy,2018-12-26,2018-12-26 08:22:00
8,8,9:22 AM,45,37,74,10,0,29.32,0.0,ENE,Partly Cloudy,2018-12-26,2018-12-26 09:22:00
9,9,10:22 AM,47,38,71,9,0,29.34,0.0,E,Partly Cloudy,2018-12-26,2018-12-26 10:22:00
10,10,11:22 AM,52,37,57,8,0,29.33,0.0,ESE,Mostly Cloudy,2018-12-26,2018-12-26 11:22:00
11,11,12:22 PM,55,38,53,10,0,29.31,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 00:22:00
12,12,1:22 PM,57,38,49,10,0,29.28,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 13:22:00
13,13,2:22 PM,58,37,46,8,0,29.25,0.0,ESE,Mostly Cloudy,2018-12-26,2018-12-26 14:22:00
14,14,3:22 PM,59,38,46,14,0,29.24,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 15:22:00
15,15,4:22 PM,58,38,47,12,0,29.24,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 16:22:00
16,16,5:22 PM,56,38,51,10,0,29.23,0.0,ESE,Mostly Cloudy,2018-12-26,2018-12-26 17:22:00
17,17,6:22 PM,54,39,57,7,0,29.24,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 18:22:00
18,18,7:22 PM,52,38,59,8,0,29.25,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 19:22:00
19,19,9:22 PM,51,38,61,10,0,29.26,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 21:22:00
20,20,10:22 PM,50,37,61,10,0,29.24,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 22:22:00
21,21,11:22 PM,50,36,59,12,0,29.26,0.0,E,Mostly Cloudy,2018-12-26,2018-12-26 23:22:00
22,22,12:22 AM,49,36,61,13,0,29.27,0.0,E,Cloudy,2018-12-26,2018-12-26 12:22:00
23,23,1:22 AM,49,35,59,12,21,29.26,0.0,E,Cloudy,2018-12-26,2018-12-26 01:22:00
