,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,51,39,63,9,0,29.16,0.0,NNW,Partly Cloudy,2018-03-31,2018-03-31 01:22:00
1,1,2:22 AM,50,39,66,9,0,29.16,0.0,NNW,Fair,2018-03-31,2018-03-31 02:22:00
2,2,3:22 AM,48,39,71,7,0,29.16,0.0,NNW,Fair,2018-03-31,2018-03-31 03:22:00
3,3,4:22 AM,48,39,71,9,0,29.15,0.0,N,Fair,2018-03-31,2018-03-31 04:22:00
4,4,5:22 AM,47,38,71,10,0,29.15,0.0,N,Fair,2018-03-31,2018-03-31 05:22:00
5,5,6:22 AM,46,38,73,5,0,29.16,0.0,N,Fair,2018-03-31,2018-03-31 06:22:00
6,6,6:22 AM,46,38,73,8,0,29.18,0.0,NE,Fair,2018-03-31,2018-03-31 06:22:00
7,7,7:22 AM,46,38,73,9,0,29.19,0.0,ENE,Fair,2018-03-31,2018-03-31 07:22:00
8,8,8:22 AM,47,39,74,9,0,29.21,0.0,E,Fair,2018-03-31,2018-03-31 08:22:00
9,9,9:22 AM,51,40,66,12,0,29.22,0.0,E,Fair,2018-03-31,2018-03-31 09:22:00
10,10,10:22 AM,55,36,49,12,0,29.22,0.0,ESE,Fair,2018-03-31,2018-03-31 10:22:00
11,11,11:22 AM,59,36,42,10,20,29.21,0.0,ESE,Fair,2018-03-31,2018-03-31 11:22:00
12,12,12:22 PM,61,36,39,8,0,29.2,0.0,SE,Fair,2018-03-31,2018-03-31 00:22:00
13,13,1:22 PM,63,35,35,8,0,29.19,0.0,SE,Fair,2018-03-31,2018-03-31 13:22:00
14,14,2:22 PM,64,36,35,8,0,29.16,0.0,SSE,Fair,2018-03-31,2018-03-31 14:22:00
15,15,3:22 PM,65,35,33,5,0,29.14,0.0,E,Fair,2018-03-31,2018-03-31 15:22:00
16,16,4:22 PM,67,35,31,6,0,29.11,0.0,VAR,Fair,2018-03-31,2018-03-31 16:22:00
17,17,5:22 PM,67,34,30,8,0,29.09,0.0,SSW,Partly Cloudy,2018-03-31,2018-03-31 17:22:00
18,18,6:22 PM,67,34,30,6,0,29.09,0.0,SSE,Mostly Cloudy,2018-03-31,2018-03-31 18:22:00
19,19,7:22 PM,65,34,32,7,0,29.08,0.0,S,Partly Cloudy,2018-03-31,2018-03-31 19:22:00
20,20,9:22 PM,62,35,37,5,0,29.08,0.0,SE,Partly Cloudy,2018-03-31,2018-03-31 21:22:00
21,21,10:22 PM,60,37,42,3,0,29.1,0.0,SSE,Fair,2018-03-31,2018-03-31 22:22:00
22,22,11:22 PM,58,36,44,6,0,29.09,0.0,SSE,Partly Cloudy,2018-03-31,2018-03-31 23:22:00
23,23,12:22 AM,57,37,47,7,0,29.09,0.0,S,Fair,2018-03-31,2018-03-31 12:22:00
