,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,75,69,82,10,0,29.04,0.0,SSW,Mostly Cloudy,2018-08-31,2018-08-31 01:22:00
1,1,2:22 AM,74,68,82,5,0,29.02,0.0,W,Mostly Cloudy,2018-08-31,2018-08-31 02:22:00
2,2,3:22 AM,74,68,82,7,0,29.01,0.0,NNW,Partly Cloudy,2018-08-31,2018-08-31 03:22:00
3,3,4:22 AM,74,68,82,5,0,29.02,0.0,N,Mostly Cloudy,2018-08-31,2018-08-31 04:22:00
4,4,5:22 AM,73,68,84,5,0,29.04,0.0,SSW,Mostly Cloudy,2018-08-31,2018-08-31 05:22:00
5,5,6:22 AM,72,69,91,3,0,29.05,0.0,S,Mostly Cloudy,2018-08-31,2018-08-31 06:22:00
6,6,6:22 AM,73,69,87,3,0,29.05,0.0,SSE,Mostly Cloudy,2018-08-31,2018-08-31 06:22:00
7,7,7:22 AM,73,69,87,5,0,29.07,0.0,S,Mostly Cloudy,2018-08-31,2018-08-31 07:22:00
8,8,8:22 AM,77,68,74,0,0,29.08,0.0,CALM,Mostly Cloudy,2018-08-31,2018-08-31 08:22:00
9,9,9:22 AM,78,65,64,6,0,29.08,0.0,S,Mostly Cloudy,2018-08-31,2018-08-31 09:22:00
10,10,10:22 AM,79,66,64,3,0,29.09,0.0,SSE,Mostly Cloudy,2018-08-31,2018-08-31 10:22:00
11,11,11:22 AM,81,67,62,7,0,29.1,0.0,S,Mostly Cloudy,2018-08-31,2018-08-31 11:22:00
12,12,12:22 PM,84,68,58,6,0,29.09,0.0,VAR,Mostly Cloudy,2018-08-31,2018-08-31 00:22:00
13,13,1:22 PM,85,68,57,7,0,29.08,0.0,SE,Mostly Cloudy,2018-08-31,2018-08-31 13:22:00
14,14,2:22 PM,86,66,51,7,0,29.06,0.0,S,Mostly Cloudy,2018-08-31,2018-08-31 14:22:00
15,15,3:22 PM,86,66,51,9,0,29.04,0.0,SE,Mostly Cloudy,2018-08-31,2018-08-31 15:22:00
16,16,4:22 PM,86,66,51,5,0,29.02,0.0,S,Mostly Cloudy,2018-08-31,2018-08-31 16:22:00
17,17,5:22 PM,86,68,55,7,0,29.01,0.0,SSW,Mostly Cloudy,2018-08-31,2018-08-31 17:22:00
18,18,6:22 PM,86,67,53,7,0,29.01,0.0,SE,Partly Cloudy,2018-08-31,2018-08-31 18:22:00
19,19,7:22 PM,83,65,54,8,0,29.01,0.0,SSE,Partly Cloudy,2018-08-31,2018-08-31 19:22:00
20,20,9:22 PM,81,66,60,5,0,29.03,0.0,SSE,Partly Cloudy,2018-08-31,2018-08-31 21:22:00
21,21,10:22 PM,80,67,64,0,0,29.06,0.0,CALM,Partly Cloudy,2018-08-31,2018-08-31 22:22:00
22,22,11:22 PM,79,67,66,3,0,29.07,0.0,SE,Mostly Cloudy,2018-08-31,2018-08-31 23:22:00
23,23,12:22 AM,78,67,68,0,0,29.07,0.0,CALM,Partly Cloudy,2018-08-31,2018-08-31 12:22:00
