,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,62,44,52,10,0,28.94,0.0,NW,Fair,2018-04-29,2018-04-29 01:22:00
1,1,2:22 AM,61,39,44,12,0,28.94,0.0,NNW,Fair,2018-04-29,2018-04-29 02:22:00
2,2,3:22 AM,59,38,46,12,0,28.94,0.0,NNW,Fair,2018-04-29,2018-04-29 03:22:00
3,3,4:22 AM,56,38,51,10,0,28.94,0.0,NNW,Fair,2018-04-29,2018-04-29 04:22:00
4,4,5:22 AM,55,37,51,12,0,28.95,0.0,NNW,Fair,2018-04-29,2018-04-29 05:22:00
5,5,6:22 AM,53,37,55,6,0,28.97,0.0,NW,Fair,2018-04-29,2018-04-29 06:22:00
6,6,6:22 AM,51,37,59,5,0,29.01,0.0,NNW,Fair,2018-04-29,2018-04-29 06:22:00
7,7,7:22 AM,52,38,59,8,0,29.04,0.0,NNW,Fair,2018-04-29,2018-04-29 07:22:00
8,8,8:22 AM,55,38,53,12,0,29.06,0.0,NNW,Fair,2018-04-29,2018-04-29 08:22:00
9,9,9:22 AM,58,37,46,12,0,29.08,0.0,N,Fair,2018-04-29,2018-04-29 09:22:00
10,10,10:22 AM,61,34,36,10,0,29.1,0.0,N,Fair,2018-04-29,2018-04-29 10:22:00
11,11,11:22 AM,63,33,33,8,0,29.11,0.0,N,Fair,2018-04-29,2018-04-29 11:22:00
12,12,12:22 PM,65,31,28,13,0,29.1,0.0,NNE,Fair,2018-04-29,2018-04-29 00:22:00
13,13,1:22 PM,67,33,28,8,0,29.09,0.0,NNE,Fair,2018-04-29,2018-04-29 13:22:00
14,14,2:22 PM,69,31,24,10,0,29.07,0.0,NNE,Fair,2018-04-29,2018-04-29 14:22:00
15,15,3:22 PM,70,38,31,13,17,29.06,0.0,W,Fair,2018-04-29,2018-04-29 15:22:00
16,16,4:22 PM,71,37,29,10,20,29.05,0.0,NNW,Fair,2018-04-29,2018-04-29 16:22:00
17,17,5:22 PM,70,36,29,7,0,29.05,0.0,NW,Fair,2018-04-29,2018-04-29 17:22:00
18,18,6:22 PM,69,35,29,8,0,29.05,0.0,NW,Fair,2018-04-29,2018-04-29 18:22:00
19,19,7:22 PM,66,33,29,12,0,29.06,0.0,NW,Fair,2018-04-29,2018-04-29 19:22:00
20,20,9:22 PM,62,35,37,10,0,29.07,0.0,NW,Fair,2018-04-29,2018-04-29 21:22:00
21,21,10:22 PM,60,34,38,10,0,29.09,0.0,NW,Fair,2018-04-29,2018-04-29 22:22:00
22,22,11:22 PM,57,33,40,10,0,29.1,0.0,NNW,Fair,2018-04-29,2018-04-29 23:22:00
23,23,12:22 AM,55,33,43,6,0,29.11,0.0,NW,Fair,2018-04-29,2018-04-29 12:22:00
