,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,2:22 AM,56,54,93,12,0,28.98,0.3,NE,Heavy Rain,2018-11-09,2018-11-09 02:22:00
1,1,3:22 AM,56,54,93,10,0,28.98,0.2,E,Light Rain,2018-11-09,2018-11-09 03:22:00
2,2,4:01 AM,56,54,93,9,0,28.98,0.0,ENE,Light Rain,2018-11-09,2018-11-09 04:01:00
3,3,4:22 AM,56,54,93,9,0,28.98,0.0,E,Light Rain,2018-11-09,2018-11-09 04:22:00
4,4,5:22 AM,56,54,93,13,0,28.96,0.0,E,Light Drizzle,2018-11-09,2018-11-09 05:22:00
5,5,6:22 AM,56,53,90,12,0,28.95,0.0,E,Light Rain,2018-11-09,2018-11-09 06:22:00
6,6,6:22 AM,56,54,93,9,0,28.94,0.0,E,Rain,2018-11-09,2018-11-09 06:22:00
7,7,7:22 AM,56,54,93,8,0,28.94,0.0,E,Light Rain,2018-11-09,2018-11-09 07:22:00
8,8,8:16 AM,55,54,94,9,0,28.94,0.0,E,Drizzle and Fog,2018-11-09,2018-11-09 08:16:00
9,9,8:22 AM,56,54,93,6,0,28.95,0.0,E,Drizzle and Fog,2018-11-09,2018-11-09 08:22:00
10,10,9:22 AM,57,55,93,9,0,28.95,0.0,E,Drizzle and Fog,2018-11-09,2018-11-09 09:22:00
11,11,10:22 AM,57,55,93,9,0,28.95,0.0,E,Drizzle and Fog,2018-11-09,2018-11-09 10:22:00
12,12,11:22 AM,57,55,93,7,0,28.94,0.0,E,Light Rain,2018-11-09,2018-11-09 11:22:00
13,13,11:55 AM,57,55,93,16,22,28.96,0.1,NNW,Heavy Rain,2018-11-09,2018-11-09 11:55:00
14,14,12:06 PM,57,55,93,12,20,28.95,0.2,N,Light Rain,2018-11-09,2018-11-09 00:06:00
15,15,12:22 PM,57,54,89,12,0,28.94,0.3,N,Light Rain,2018-11-09,2018-11-09 00:22:00
16,16,12:24 PM,57,54,89,10,0,28.94,0.0,N,Light Rain,2018-11-09,2018-11-09 00:24:00
17,17,1:22 PM,57,53,87,9,0,28.93,0.0,NE,Light Drizzle,2018-11-09,2018-11-09 13:22:00
18,18,2:22 PM,59,55,87,6,0,28.91,0.0,NE,Cloudy,2018-11-09,2018-11-09 14:22:00
19,19,3:22 PM,60,55,83,5,0,28.91,0.0,N,Cloudy,2018-11-09,2018-11-09 15:22:00
20,20,4:22 PM,60,56,86,3,0,28.91,0.0,NW,Cloudy,2018-11-09,2018-11-09 16:22:00
21,21,5:22 PM,60,57,90,7,0,28.94,0.0,NNW,Cloudy,2018-11-09,2018-11-09 17:22:00
22,22,6:22 PM,59,56,90,10,0,28.94,0.0,NW,Cloudy,2018-11-09,2018-11-09 18:22:00
23,23,6:46 PM,57,54,89,20,25,28.95,0.0,NW,Light Rain,2018-11-09,2018-11-09 18:46:00
24,24,7:22 PM,55,51,86,17,22,28.95,0.0,WNW,Light Rain,2018-11-09,2018-11-09 19:22:00
25,25,8:54 PM,53,51,93,16,24,28.96,0.0,NW,Cloudy,2018-11-09,2018-11-09 20:54:00
26,26,9:22 PM,52,48,86,16,0,28.99,0.0,NW,Cloudy,2018-11-09,2018-11-09 21:22:00
27,27,10:22 PM,50,46,86,17,0,28.99,0.0,NNW,Cloudy,2018-11-09,2018-11-09 22:22:00
28,28,11:20 PM,48,43,82,23,35,29.02,0.0,NW,Cloudy / Windy,2018-11-09,2018-11-09 23:20:00
29,29,11:22 PM,48,42,80,22,35,29.02,0.0,NW,Cloudy / Windy,2018-11-09,2018-11-09 23:22:00
30,30,12:22 AM,46,39,76,16,0,29.04,0.0,NW,Mostly Cloudy,2018-11-09,2018-11-09 12:22:00
31,31,12:36 AM,45,37,74,18,28,29.04,0.0,NNW,Mostly Cloudy,2018-11-09,2018-11-09 12:36:00
32,32,1:22 AM,44,36,73,15,24,29.05,0.0,NNW,Mostly Cloudy,2018-11-09,2018-11-09 01:22:00
