,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,77,73,88,7,0,28.94,0.0,W,Fair,2017-08-23,2017-08-23 01:22:00
1,1,2:22 AM,78,72,81,5,0,28.92,0.0,SW,Fair,2017-08-23,2017-08-23 02:22:00
2,2,3:22 AM,77,72,84,5,0,28.9,0.0,SSW,Fair,2017-08-23,2017-08-23 03:22:00
3,3,4:22 AM,75,72,90,0,0,28.89,0.0,CALM,Cloudy,2017-08-23,2017-08-23 04:22:00
4,4,5:22 AM,76,71,85,5,0,28.89,0.0,W,Cloudy,2017-08-23,2017-08-23 05:22:00
5,5,6:22 AM,75,71,87,6,0,28.89,0.0,W,Fair,2017-08-23,2017-08-23 06:22:00
6,6,6:22 AM,75,71,87,7,0,28.89,0.0,W,Fair,2017-08-23,2017-08-23 06:22:00
7,7,7:22 AM,74,71,91,9,0,28.9,0.0,W,Partly Cloudy,2017-08-23,2017-08-23 07:22:00
8,8,8:22 AM,77,71,82,10,0,28.9,0.0,WNW,Fair,2017-08-23,2017-08-23 08:22:00
9,9,9:22 AM,80,72,76,7,0,28.9,0.0,W,Fair,2017-08-23,2017-08-23 09:22:00
10,10,10:22 AM,83,72,69,10,0,28.91,0.0,NW,Partly Cloudy,2017-08-23,2017-08-23 10:22:00
11,11,11:22 AM,84,71,65,9,0,28.9,0.0,WNW,Partly Cloudy,2017-08-23,2017-08-23 11:22:00
12,12,12:22 PM,86,71,61,10,0,28.89,0.0,W,Mostly Cloudy,2017-08-23,2017-08-23 00:22:00
13,13,1:22 PM,86,69,57,13,18,28.88,0.0,NW,Partly Cloudy,2017-08-23,2017-08-23 13:22:00
14,14,2:22 PM,87,68,53,9,0,28.86,0.0,W,Partly Cloudy,2017-08-23,2017-08-23 14:22:00
15,15,3:22 PM,87,66,49,12,0,28.84,0.0,W,Partly Cloudy,2017-08-23,2017-08-23 15:22:00
16,16,4:22 PM,87,65,48,7,0,28.82,0.0,N,Partly Cloudy,2017-08-23,2017-08-23 16:22:00
17,17,5:22 PM,87,66,49,8,0,28.81,0.0,NNW,Partly Cloudy,2017-08-23,2017-08-23 17:22:00
18,18,6:22 PM,87,66,49,10,0,28.8,0.0,NW,Partly Cloudy,2017-08-23,2017-08-23 18:22:00
19,19,7:22 PM,85,65,51,10,0,28.8,0.0,WNW,Fair,2017-08-23,2017-08-23 19:22:00
20,20,9:22 PM,82,65,56,7,0,28.81,0.0,NW,Fair,2017-08-23,2017-08-23 21:22:00
21,21,10:22 PM,80,66,62,8,0,28.83,0.0,NW,Fair,2017-08-23,2017-08-23 22:22:00
22,22,11:22 PM,77,67,71,7,0,28.84,0.0,WNW,Fair,2017-08-23,2017-08-23 23:22:00
23,23,12:22 AM,77,66,69,8,0,28.84,0.0,NNW,Fair,2017-08-23,2017-08-23 12:22:00
