,Unnamed: 0,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precipitation,Wind,Condition,Date,time
0,0,1:22 AM,79,71,77,7,0,28.94,0.0,SW,Fair,2017-07-22,2017-07-22 01:22:00
1,1,2:22 AM,78,71,79,6,0,28.92,0.0,WSW,Fair,2017-07-22,2017-07-22 02:22:00
2,2,3:22 AM,77,71,82,3,0,28.91,0.0,WSW,Fair,2017-07-22,2017-07-22 03:22:00
3,3,4:22 AM,75,71,87,5,0,28.9,0.0,SSW,Fair,2017-07-22,2017-07-22 04:22:00
4,4,5:22 AM,75,71,87,7,0,28.91,0.0,W,Fair,2017-07-22,2017-07-22 05:22:00
5,5,6:22 AM,74,71,91,5,0,28.91,0.0,SW,Fair,2017-07-22,2017-07-22 06:22:00
6,6,6:22 AM,74,71,91,5,0,28.93,0.0,WNW,Fair,2017-07-22,2017-07-22 06:22:00
7,7,7:22 AM,75,72,90,6,0,28.94,0.0,WSW,Fair,2017-07-22,2017-07-22 07:22:00
8,8,8:22 AM,77,73,88,5,0,28.96,0.0,WSW,Fair,2017-07-22,2017-07-22 08:22:00
9,9,9:22 AM,81,74,79,3,0,28.97,0.0,VAR,Fair,2017-07-22,2017-07-22 09:22:00
10,10,10:22 AM,83,74,74,5,0,28.96,0.0,SW,Fair,2017-07-22,2017-07-22 10:22:00
11,11,11:22 AM,86,75,70,7,0,28.95,0.0,SSW,Fair,2017-07-22,2017-07-22 11:22:00
12,12,12:22 PM,87,75,67,5,0,28.95,0.0,VAR,Partly Cloudy,2017-07-22,2017-07-22 00:22:00
13,13,1:22 PM,89,74,61,5,0,28.93,0.0,W,Mostly Cloudy,2017-07-22,2017-07-22 13:22:00
14,14,2:22 PM,90,73,57,9,0,28.9,0.0,WSW,Mostly Cloudy,2017-07-22,2017-07-22 14:22:00
15,15,2:39 PM,91,73,55,7,0,28.9,0.0,WSW,Thunder in the Vicinity,2017-07-22,2017-07-22 14:39:00
16,16,3:13 PM,86,69,57,23,26,28.9,0.0,NNW,Thunder / Windy,2017-07-22,2017-07-22 15:13:00
17,17,3:22 PM,82,69,65,24,29,28.91,0.0,NNW,Thunder / Windy,2017-07-22,2017-07-22 15:22:00
18,18,3:29 PM,78,71,79,17,29,28.9,0.0,NNW,Light Rain with Thunder,2017-07-22,2017-07-22 15:29:00
19,19,4:09 PM,79,72,79,9,0,28.89,0.0,WNW,Thunder in the Vicinity,2017-07-22,2017-07-22 16:09:00
20,20,4:22 PM,80,73,79,8,0,28.89,0.0,SSW,Mostly Cloudy,2017-07-22,2017-07-22 16:22:00
21,21,5:22 PM,80,74,81,6,0,28.89,0.0,W,Mostly Cloudy,2017-07-22,2017-07-22 17:22:00
22,22,6:22 PM,82,73,74,3,0,28.89,0.0,SW,Mostly Cloudy,2017-07-22,2017-07-22 18:22:00
23,23,7:22 PM,81,72,74,3,0,28.88,0.0,SW,Mostly Cloudy,2017-07-22,2017-07-22 19:22:00
24,24,9:22 PM,80,72,76,0,0,28.9,0.0,CALM,Cloudy,2017-07-22,2017-07-22 21:22:00
25,25,10:22 PM,79,73,82,6,0,28.91,0.0,SW,Mostly Cloudy,2017-07-22,2017-07-22 22:22:00
26,26,11:22 PM,78,74,87,5,0,28.9,0.0,SW,Partly Cloudy,2017-07-22,2017-07-22 23:22:00
27,27,12:22 AM,78,74,87,5,0,28.9,0.0,WSW,Partly Cloudy,2017-07-22,2017-07-22 12:22:00
